name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
Baguette,Crusty French bread with a soft interior,bread,slice,wire_bread_slice_am_yrbyuf,Neutral|Yeasty,Crusty,France
Ciabatta,Italian rustic bread with an open crumb,bread,slice,wire_bread_slice_am_yrbyuf,Neutral|Yeasty,Chewy,Italy
Sourdough,Tangy and yeasty bread with a chewy texture,bread,slice,wire_bread_slice_am_yrbyuf,Tangy|Yeasty,Chewy,Global
Rye Bread,Earthy bread made with rye flour,bread,slice,wire_bread_slice_am_yrbyuf,Earthy|Slightly-Sour,Dense,Northern Europe
Pumpernickel,Dark and malty bread made from rye,bread,slice,wire_bread_slice_am_yrbyuf,Malty|Earthy,Dense,Germany
Focaccia,Soft, olive oil-based Italian bread,bread,slice,wire_bread_slice_am_yrbyuf,Herbaceous|Olive-oil,Soft,Italy
Brioche,Buttery and slightly sweet French bread,bread,slice,wire_bread_slice_am_yrbyuf,Buttery|Slightly-Sweet,Soft,France
Challah,Sweet and eggy Jewish bread,bread,slice,wire_bread_slice_am_yrbyuf,Slightly-Sweet|Eggy,Soft,Isreal
Naan,Soft, buttery flatbread from India and Pakistan,flatbread,piece,wire_flatbread_am_lhjcyj,Buttery|Yeasty,Soft,India|Pakistan
Pita,Soft, pocket-style flatbread from the Mediterranean,flatbread,piece,wire_flatbread_am_lhjcyj,Neutral|Yeasty,Soft,Mediterranean|Middle East
Lavash,Thin and slightly sweet Armenian flatbread,flatbread,piece,wire_flatbread_am_lhjcyj,Neutral|Slightly-Sweet,Thin,Caucasus|Middle East
Matzo,Crispy and bland unleavened bread,flatbread,piece,wire_flatbread_am_lhjcyj,Bland|Neutral,Crispy,Isreal
Pretzel,Slightly salty, chewy German bread,bread,slice,wire_bread_slice_am_yrbyuf,Slightly-Salty|Toasty,Chewy,Germany
Bagel,Chewy, malty, slightly salty bread from Israel,bread,slice,wire_bread_slice_am_yrbyuf,Malty|Slightly-Salty,Chewy,Isreal
English Muffin,Spongy bread with a slightly sour taste,bread,slice,wire_bread_slice_am_yrbyuf,Neutral|Slightly-Sour,Spongy,England
Crumpet,Spongy, slightly sweet British bread,bread,slice,wire_bread_slice_am_yrbyuf,Slightly-Sweet|Buttery,Spongy,United Kingdom
Whole Wheat Bread,Earthy and nutty bread made with whole wheat,bread,slice,wire_bread_slice_am_yrbyuf,Earthy|Nutty,Dense,Global
