name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
Brie, A soft and creamy French cheese with a delicate white rind, known for its buttery, mild, earthy, and nutty flavor.,cheese,slice,wire_cheese_am_beyk0d,buttery|mild|earthy|nutty,soft,France
Camembert,A soft, creamy cheese from France with a distinct earthy, mushroomy, and buttery taste, wrapped in a white rind.,cheese,slice,wire_cheese_am_beyk0d,earthy|mushroomy|buttery,soft,France
Roquefort,"A pungent and tangy blue cheese from France with sharp and spicy flavors, and a crumbly texture",cheese,slice,wire_cheese_am_beyk0d,salty|sharp|pungent|spicy,crumbly,France
Gorgonzola,"An Italian blue cheese with a creamy texture and a tangy, spicy, and pungent flavor profile",cheese,slice,wire_cheese_am_beyk0d,tangy|creamy|spicy|pungent,crumbly,Italy
Stilton,"A rich and nutty blue cheese from the UK, with a spicy, fruity flavor and crumbly texture",cheese,slice,wire_cheese_am_beyk0d,rich|nutty|spicy|fruity,crumbly,United Kingdom
Cheddar,"A firm, sharp cheese from the UK, known for its nutty, savory, and tangy flavors, often enjoyed aged",cheese,slice,wire_cheese_am_beyk0d,sharp|nutty|savory|tangy,firm,United Kingdom
Parmesan,"A hard, granular cheese from Italy with a savory, salty, umami flavor that enhances various dishes",cheese,slice,wire_cheese_am_beyk0d,umami|nutty|salty|savory,hard,Italy
Gouda,"A semi-hard cheese from the Netherlands with a smooth texture and a sweet, caramel, buttery, and nutty flavor",cheese,slice,wire_cheese_am_beyk0d,sweet|caramel|buttery|nutty,semi-hard,Netherlands
Edam,"A semi-hard cheese from the Netherlands with a mild, buttery, slightly salty, and nutty flavor",cheese,slice,wire_cheese_am_beyk0d,mild|buttery|nutty|slightly salty,semi-hard,Netherlands
Gruyere,"A firm Swiss cheese with a fruity, nutty, savory, and slightly caramelized flavor, perfect for melting",cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|savory|caramelized,firm,Switzerland
Emmental,"A semi-hard Swiss cheese with a mild, nutty, buttery flavor and a slightly fruity taste",cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|buttery|mild,semi-hard,Switzerland
Comte,"A firm French cheese with a nutty, savory, buttery, and fruity flavor, perfect for pairing with wines",cheese,slice,wire_cheese_am_beyk0d,fruity|savory|nutty|buttery,firm,France
Reblochon, A soft and creamy French cheese with a mild, earthy, and nutty flavor, cheese, slice, wire_cheese_am_beyk0d, creamy|earthy|nutty|mild, soft, France
Tomme de Savoie, A semi-soft cheese from France with grassy, nutty, and buttery flavors, cheese, slice, wire_cheese_am_beyk0d, earthy|grassy|nutty|buttery, semi-soft, France
Munster, A soft cheese from France with pungent, savory, spicy, and buttery flavors, cheese, slice, wire_cheese_am_beyk0d, pungent|savory|spicy|buttery, soft, France
Maroilles, A strong-smelling soft cheese from France with earthy, pungent, and savory flavors, cheese, slice, wire_cheese_am_beyk0d, earthy|strong|pungent|savory, soft, France
Pont-l'Eveque, A soft French cheese with a mild, earthy flavor and buttery, mushroomy notes, cheese, slice, wire_cheese_am_beyk0d, earthy|buttery|mushroomy|mild, soft, France
Livarot, A pungent soft cheese from France with savory, earthy, and spicy flavors, cheese, slice, wire_cheese_am_beyk0d, pungent|savory|earthy|spicy, soft, France
Epoisses, A strong, pungent French cheese with savory and nutty flavors, cheese, slice, wire_cheese_am_beyk0d, strong|pungent|savory|nutty, soft, France
Langres, A creamy and tangy cheese from France with fruity and pungent flavors, cheese, slice, wire_cheese_am_beyk0d, earthy|tangy|fruity|pungent, soft, France
Brillat-Savarin, A rich, triple-cream soft cheese from France with buttery and mild flavors, cheese, slice, wire_cheese_am_beyk0d, creamy|buttery|mild|rich, soft, France
Coulommiers, A creamy, buttery soft cheese from France with mild and nutty flavors, cheese, slice, wire_cheese_am_beyk0d, creamy|buttery|mild|nutty, soft, France
Chabichou, A semi-soft goat cheese from France with tangy, goaty, and citrusy flavors, cheese, slice, wire_cheese_am_beyk0d, tangy|goaty|nutty|citrusy, semi-soft, France
Crottin de Chavignol, A semi-soft goat cheese from France with earthy, tangy, and nutty flavors, cheese, slice, wire_cheese_am_beyk0d, earthy|tangy|nutty|goaty, semi-soft, France
Valencay, A semi-soft French goat cheese with earthy, goaty, and citrusy flavors, cheese, slice, wire_cheese_am_beyk0d, earthy|goaty|nutty|citrusy, semi-soft, France
Bleu d'Auvergne, A tangy, spicy blue cheese from France with buttery and salty flavors, cheese, slice, wire_cheese_am_beyk0d, spicy|pungent|buttery|salty, crumbly, France
Fourme d'Ambert, A mild yet pungent blue cheese from France with nutty and buttery flavors, cheese, slice, wire_cheese_am_beyk0d, mild|pungent|nutty|buttery, crumbly, France
Bleu de Gex, A blue cheese from France with sharp, spicy, and nutty flavors, cheese, slice, wire_cheese_am_beyk0d, sharp|spicy|savory|nutty, crumbly, France
Saint-Nectaire, A semi-soft French cheese with earthy, nutty, buttery, and mushroomy flavors, cheese, slice, wire_cheese_am_beyk0d, earthy|nutty|buttery|mushroomy, semi-soft, France
Cantal, A firm French cheese with tangy, nutty, buttery, and savory flavors, cheese, slice, wire_cheese_am_beyk0d, tangy|nutty|buttery|savory, firm, France
