name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
Roast Chicken,Roasted chicken with herbs,meat,patty,wire_patty_am_ia0a9w,Savory|Herby,Tender,Global
Fried Chicken,Deep-fried crispy chicken,meat,patty,wire_patty_am_ia0a9w,Savory|Crispy|Salty,Crispy,United States
Grilled Chicken Breast,Grilled chicken breast,meat,patty,wire_patty_am_ia0a9w,Smoky|Savory|Herby,Juicy,Global
Chicken Nuggets,Breaded and fried chicken nuggets,meat,patty,wire_patty_am_ia0a9w,Savory|Salty|Crispy,Crispy,United States
Chicken Wings,Deep-fried or grilled chicken wings,meat,patty,wire_patty_am_ia0a9w,Spicy|Savory|Tangy,Juicy,United States
Chicken Tenders,Breaded and fried chicken strips,meat,patty,wire_patty_am_ia0a9w,Savory|Crispy,Crispy,United States
Rotisserie Chicken,Slow-cooked whole chicken,meat,patty,wire_patty_am_ia0a9w,Savory|Herby,Tender,Global
Chicken Parmesan,Breaded chicken with tomato sauce and cheese,meat,patty,wire_patty_am_ia0a9w,Savory|Cheesy|Tomatoey,Crispy|Tender,Italy|United States
Buffalo Chicken,Spicy chicken with hot sauce,meat,patty,wire_patty_am_ia0a9w,Spicy|Tangy,Tender,United States
Chicken Satay,Grilled skewered chicken with peanut sauce,meat,patty,wire_patty_am_ia0a9w,Savory|Nutty|Sweet,Tender,Indonesia|Thailand
Chicken Katsu,Breaded and fried chicken cutlet,meat,patty,wire_patty_am_ia0a9w,Savory|Crispy|Umami,Crispy,Japan
Chicken Shawarma,Spiced chicken in flatbread,meat,patty,wire_patty_am_ia0a9w,Spiced|Savory|Garlicky,Tender,Middle East
BBQ Chicken,Chicken coated in barbecue sauce,meat,patty,wire_patty_am_ia0a9w,Smoky|Sweet|Savory,Tender,United States
Chicken Curry,Chicken in spiced curry sauce,meat,patty,wire_patty_am_ia0a9w,Spiced|Savory,Tender,India|Thailand
Chicken Stir Fry,Stir-fried chicken with vegetables,meat,patty,wire_patty_am_ia0a9w,Savory|Umami|Sweet,Tender,China
Chicken Cordon Bleu,Stuffed chicken with ham and cheese,meat,patty,wire_patty_am_ia0a9w,Cheesy|Savory|Crispy,Crispy|Tender,France|Switzerland
Smoked Chicken,Smoked chicken,meat,patty,wire_patty_am_ia0a9w,Smoky|Savory,Tender,Global
Chicken Schnitzel,Breaded and fried chicken cutlet,meat,patty,wire_patty_am_ia0a9w,Savory|Crispy,Crispy,Germany|Austria
Tandoori Chicken,Chicken marinated in spiced yogurt and grilled,meat,patty,wire_patty_am_ia0a9w,Spicy|Smoky|Tangy,Tender,India
Chicken Fajitas,Sizzling chicken with peppers and onions,meat,patty,wire_patty_am_ia0a9w,Savory|Spicy|Smoky,Juicy,Mexico
Chicken Mole,Chicken in chocolate-based sauce,meat,patty,wire_patty_am_ia0a9w,Spiced|Chocolatey|Savory,Tender,Mexico
Chicken Biryani,Spiced rice with chicken,meat,patty,wire_patty_am_ia0a9w,Spiced|Savory|Aromatic,Tender,India
Chicken Pot Pie,Chicken in creamy sauce inside a pastry shell,meat,patty,wire_patty_am_ia0a9w,Comforting|Savory|Buttery,Creamy|Tender,United States|United Kingdom
Chicken Gumbo,Spicy chicken stew with sausage,meat,patty,wire_patty_am_ia0a9w,Spiced|Savory|Umami,Thick|Tender,United States (Louisiana)
Chicken Marsala,Chicken cooked in Marsala wine sauce,meat,patty,wire_patty_am_ia0a9w,Savory|Earthy|Winey,Tender,Italy
Chicken Fricassee,Chicken in a creamy herb sauce,meat,patty,wire_patty_am_ia0a9w,Herby|Savory|Creamy,Tender,France
Chicken Piccata,Chicken in lemon and caper sauce,meat,patty,wire_patty_am_ia0a9w,Tangy|Savory|Buttery,Tender,Italy
Beef Steak,Grilled or pan-seared beef steak,meat,patty,wire_patty_am_ia0a9w,Meaty|Umami|Juicy,Juicy,Global
Ground Beef Patty,Ground beef formed into a patty,meat,patty,wire_patty_am_ia0a9w,Savory|Umami,Juicy,Global
Meatballs,Ground or minced meat shaped into balls,meat,patty,wire_patty_am_ia0a9w,Savory|Herby|Umami,Tender,Italy|Sweden
Beef Stir Fry,Beef cooked with vegetables in a stir-fry style,meat,patty,wire_patty_am_ia0a9w,Savory|Umami|Sweet,Tender,China
Beef Wellington,Beef wrapped in puff pastry and baked,meat,patty,wire_patty_am_ia0a9w,Rich|Savory|Buttery,Tender,United Kingdom
