name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
ketchup,tangy tomato-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|sweet|savory,thick,Europe|North America
mayonnaise,creamy egg-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|savory,smooth,Europe
mustard,tangy yellow condiment,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|spicy|sharp,thick,Europe
barbecue sauce,sweet and smoky sauce,tablespoon,wire_thick_sauce_am_q1uzcx,smoky|sweet|tangy,thick,North America
hot sauce,spicy vinegar-based sauce,tablespoon,wire_thin_sauce_am_fl1iea,spicy|tangy|savory,thin,Central America
soy sauce,salty fermented sauce,tablespoon,wire_thin_sauce_am_fl1iea,salty|umami|savory,thin,China|Japan
teriyaki sauce,sweet soy-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|salty|umami,thick,Japan
worcestershire sauce,fermented sauce with spices,tablespoon,wire_thin_sauce_am_fl1iea,tangy|umami|savory,thin,United Kingdom
ranch dressing,creamy herb-based dressing,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|herby|savory,thick,North America
caesar dressing,creamy anchovy-based dressing,tablespoon,wire_thick_sauce_am_q1uzcx,savory|tangy|creamy,thick,North America
blue cheese dressing,creamy dressing with blue cheese,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|tangy|savory,thick,North America
thousand island dressing,sweet and tangy creamy dressing,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|tangy|savory,thick,North America
vinaigrette,oil and vinegar-based dressing,tablespoon,wire_thin_sauce_am_fl1iea,tangy|acidic|herby,thin,Europe
honey mustard,sweet and tangy mustard-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|tangy|spicy,thick,North America
buffalo sauce,spicy and buttery sauce,tablespoon,wire_thin_sauce_am_fl1iea,spicy|tangy|buttery,thin,North America
sriracha,spicy garlic-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|garlicky|sweet,thick,Thailand
hoisin sauce,sweet and savory soy-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|savory|umami,thick,China
duck sauce,sweet and tangy fruit-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|tangy|fruity,thick,China
sweet and sour sauce,sweet and tangy fruit-based sauce,tablespoon,wire_thin_sauce_am_fl1iea,sweet|tangy|savory,thin,China
plum sauce,sweet and tangy fruit-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|tangy|fruity,thick,China
oyster sauce,umami-packed sauce with oyster extract,tablespoon,wire_thick_sauce_am_q1uzcx,savory|umami|slightly sweet,thick,China
fish sauce,fermented fish-based sauce,tablespoon,wire_thin_sauce_am_fl1iea,salty|umami|pungent,thin,Southeast Asia
ponzu sauce,tangy citrus-based soy sauce,tablespoon,wire_thin_sauce_am_fl1iea,tangy|citrusy|savory,thin,Japan
gochujang,fermented spicy and savory paste,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|savory|fermented,thick,Korea
tahini,sesame seed-based paste,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|bitter|earthy,thick,Middle East
hummus,garlicky chickpea-based dip,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|savory|garlicky,thick,Middle East
tzatziki,cucumber and yogurt-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|herby|cooling,thick,Greece|Turkey
aioli,garlicky olive oil-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,garlicky|creamy|savory,thick,France|Spain
remoulade,tangy and spicy mustard-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|savory|spicy,thick,France
pesto,basil and nut-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,herby|garlicky|nutty,thick,Italy
alfredo sauce,creamy butter and cheese-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|buttery|cheesy,thick,Italy
marinara sauce,tomato and herb-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|herby|savory,thick,Italy
tomato sauce,tangy tomato-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|savory|herby,thick,Europe
bolognese sauce,meat-based tomato sauce,tablespoon,wire_thick_sauce_am_q1uzcx,meaty|savory|rich,thick,Italy
carbonara sauce,creamy sauce with eggs and cheese,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|savory|umami,thick,Italy
vodka sauce,creamy tomato and vodka-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|tangy|savory,thick,Italy
bechamel sauce,creamy butter and milk-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|buttery|mild,thick,France
mornay sauce,cheese-based variation of bechamel,tablespoon,wire_thick_sauce_am_q1uzcx,cheesy|creamy|savory,thick,France
cheese sauce,cheese and butter-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,cheesy|savory|buttery,thick,Europe|North America
nacho cheese,spicy cheese-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,cheesy|savory|spicy,thick,North America
gravy,meaty sauce made from drippings,tablespoon,wire_thick_sauce_am_q1uzcx,savory|meaty|umami,thick,Europe|North America
brown sauce,tangy and savory sauce,tablespoon,wire_thin_sauce_am_fl1iea,tangy|savory|fruity,thin,United Kingdom
peppercorn sauce,creamy sauce with peppercorns,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|savory|creamy,thick,France
chimichurri,herb-based vinegar sauce,tablespoon,wire_thin_sauce_am_fl1iea,herby|tangy|garlicky,thin,Argentina
salsa,chunky tomato and pepper-based sauce,tablespoon,wire_chunky_sauce_am_tnff7v,tangy|spicy|fresh,chunky,Central America
pico de gallo,fresh tomato and cilantro salsa,tablespoon,wire_chunky_sauce_am_tnff7v,tangy|spicy|fresh,chunky,Central America
guacamole,creamy avocado-based dip,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|savory|fresh,thick,Central America
mole sauce,spicy chocolate and chili-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,rich|spicy|chocolatey,thick,Mexico
adobo sauce,smoky and spicy sauce often used in Mexican cuisine,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,smoky|spicy|savory,thick,Mexico
enchilada sauce,tangy and spicy sauce commonly used in enchiladas,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,spicy|tangy|savory,thin,Mexico
chili sauce,spicy and tangy sauce made with chili peppers,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|tangy|sweet,thick,Global
harissa,spicy North African chili paste with earthy flavors,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|smoky|earthy,thick,North Africa
berbere sauce,spicy Ethiopian sauce with a warm, earthy flavor,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|earthy|warm,thick,Ethiopia
zhug,spicy, herby, and garlicky Middle Eastern sauce,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|herby|garlicky,thick,Middle East
rouille,garlicky and spicy sauce from France, often served with seafood,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,garlicky|spicy|savory,thick,France
bourguignonne sauce,rich French sauce made with wine and butter,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,rich|savory|winey,thick,France
bordelaise sauce,rich French sauce made with wine, bone marrow, and butter,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,rich|savory|winey,thick,France
hollandaise sauce,buttery and tangy French sauce made with egg yolks and butter,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,buttery|tangy|creamy,thick,France
bearnaise sauce,buttery, tangy sauce with herbs and shallots,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,buttery|tangy|herby,thick,France
curry sauce,spicy and savory sauce often made with a blend of spices,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|earthy|savory,thick,South Asia
tikka masala sauce,creamy and spicy Indian sauce often used in tikka masala,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|creamy|savory,thick,India|United Kingdom
korma sauce,mild and creamy Indian sauce with nutty flavors,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,mild|creamy|nutty,thick,India
butter chicken sauce,creamy, spicy sauce typically used in butter chicken,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,buttery|spicy|savory,thick,India
raita,creamy and cooling yogurt-based sauce with herbs,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|cooling|herby,thick,India
